KYTREASNOX,MCALDT,TMEWRETD
2000040,20000131,4.00E-03
2000040,20000229,4.78E-03
2000040,20000331,4.92E-03
2000040,20000428,4.38E-03
2000040,20000531,5.25E-03
2000040,20000630,6.20E-03
2000040,20000731,5.05E-03
2000040,20000831,5.70E-03
2000040,20000929,5.21E-03
2000040,20001031,5.17E-03
2000040,20001130,6.02E-03
2000040,20001229,6.88E-03
2000040,20010131,8.56E-03
2000040,20010228,4.23E-03
2000040,20010330,5.35E-03
2000040,20010430,4.63E-03
2000040,20010531,5.08E-03
2000040,20010629,2.54E-03
2000040,20010731,4.81E-03
2000040,20010831,3.48E-03
2000040,20010928,6.55E-03
2000040,20011031,5.02E-03
2000040,20011130,1.67E-03
2000040,20011231,2.14E-03
2000040,20020131,8.91E-04
2000040,20020228,2.08E-03
2000040,20020328,-2.95E-04
2000040,20020430,4.39E-03
2000040,20020531,1.81E-03
2000040,20020628,2.59E-03
2000040,20020731,2.55E-03
2000040,20020830,1.17E-03
2000040,20020930,2.82E-03
2000040,20021031,1.65E-03
2000040,20021129,9.68E-04
2000040,20021231,1.89E-03
2000040,20030131,8.56E-04
2000040,20030228,1.13E-03
2000040,20030331,1.52E-03
2000040,20030430,8.58E-04
2000040,20030530,8.22E-04
2000040,20030630,1.90E-03
2000040,20030731,3.01E-04
2000040,20030829,4.03E-04
2000040,20030930,2.12E-03
2000040,20031031,2.88E-04
2000040,20031128,4.40E-04
2000040,20031231,2.06E-03
2000040,20040130,9.38E-04
2000040,20040227,1.08E-03
2000040,20040331,1.33E-03
2000040,20040430,-3.35E-04
2000040,20040528,2.02E-04
2000040,20040630,9.25E-04
2000040,20040730,1.21E-03
2000040,20040831,2.18E-03
2000040,20040930,4.67E-04
2000040,20041029,1.15E-03
2000040,20041130,2.91E-04
2000040,20041231,1.62E-03
2000040,20050131,1.40E-03
2000040,20050228,1.07E-03
2000040,20050331,2.12E-03
2000040,20050429,2.55E-03
2000040,20050531,3.08E-03
2000040,20050630,1.97E-03
2000040,20050729,1.07E-03
2000040,20050831,3.69E-03
2000040,20050930,1.71E-03
2000040,20051031,2.14E-03
2000040,20051130,3.22E-03
2000040,20051230,3.41E-03
2000040,20060131,2.96E-03
2000040,20060228,2.79E-03
2000040,20060331,3.50E-03
2000040,20060428,3.28E-03
2000040,20060531,3.53E-03
2000040,20060630,3.33E-03
2000040,20060731,4.97E-03
2000040,20060831,4.62E-03
2000040,20060929,4.34E-03
2000040,20061031,4.05E-03
2000040,20061130,4.23E-03
2000040,20061229,3.65E-03
2000040,20070131,4.23E-03
2000040,20070228,4.24E-03
2000040,20070330,4.12E-03
2000040,20070430,4.14E-03
2000040,20070531,3.95E-03
2000040,20070629,4.16E-03
2000040,20070731,4.69E-03
2000040,20070831,6.54E-03
2000040,20070928,4.71E-03
2000040,20071031,3.62E-03
2000040,20071130,8.23E-03
2000040,20071231,1.89E-03
2000040,20080131,8.94E-03
2000040,20080229,3.46E-03
2000040,20080331,3.17E-03
2000040,20080430,-2.06E-04
2000040,20080530,-3.05E-04
2000040,20080630,1.35E-03
2000040,20080731,2.68E-03
2000040,20080829,1.55E-03
2000040,20080930,4.22E-03
2000040,20081031,3.53E-03
2000040,20081128,3.47E-03
2000040,20081231,2.87E-03
2000040,20090130,-5.12E-04
2000040,20090227,-3.41E-04
2000040,20090331,1.35E-03
2000040,20090430,1.10E-03
2000040,20090529,1.71E-04
2000040,20090630,5.14E-04
2000040,20090731,5.24E-04
2000040,20090831,8.29E-04
2000040,20090930,5.25E-04
2000040,20091030,2.84E-04
2000040,20091130,8.07E-04
2000040,20091231,-5.68E-04
2000040,20100129,9.02E-04
2000040,20100226,1.05E-04
2000040,20100331,9.34E-05
2000040,20100430,1.67E-04
2000040,20100528,4.13E-04
2000040,20100630,7.54E-04
2000040,20100730,2.53E-04
2000040,20100831,4.96E-04
2000040,20100930,3.02E-04
2000040,20101029,1.79E-04
2000040,20101130,8.08E-05
2000040,20101231,2.45E-04
2000040,20110131,5.42E-04
2000040,20110228,3.13E-04
2000040,20110331,2.03E-04
2000040,20110429,5.35E-04
2000040,20110531,4.58E-04
2000040,20110630,2.22E-04
2000040,20110729,-3.47E-04
2000040,20110831,1.19E-03
2000040,20110930,-2.56E-04
2000040,20111031,3.72E-04
2000040,20111130,1.87E-04
2000040,20111230,2.68E-05
2000040,20120131,2.23E-04
2000040,20120229,-1.16E-04
2000040,20120330,-5.81E-05
2000040,20120430,3.50E-04
2000040,20120531,2.08E-04
2000040,20120629,-3.78E-05
2000040,20120731,4.73E-04
2000040,20120831,3.21E-05
2000040,20120928,1.93E-04
2000040,20121031,1.55E-04
2000040,20121130,2.10E-04
2000040,20121231,3.18E-04
2000040,20130131,2.40E-04
2000040,20130228,9.58E-05
2000040,20130328,1.23E-04
2000040,20130430,3.98E-04
2000040,20130531,-5.57E-06
2000040,20130628,3.06E-05
2000040,20130731,4.39E-04
2000040,20130830,1.60E-05
2000040,20130930,3.57E-04
2000040,20131031,-4.38E-05
2000040,20131129,-8.42E-05
2000040,20131231,2.88E-04
2000040,20140131,1.65E-04
2000040,20140228,1.17E-04
2000040,20140331,2.86E-04
2000040,20140430,2.21E-04
2000040,20140530,-1.88E-05
2000040,20140630,1.33E-04
2000040,20140731,1.48E-04
2000040,20140829,5.92E-05
2000040,20140930,2.89E-04
2000040,20141031,-4.42E-05
2000040,20141128,-1.96E-06
2000040,20141231,-1.18E-04
2000040,20150130,4.65E-04
2000040,20150227,3.76E-05
2000040,20150331,1.63E-04
2000040,20150430,4.26E-04
2000040,20150529,5.49E-05
2000040,20150630,2.82E-04
2000040,20150731,-4.53E-06
2000040,20150831,1.44E-05
2000040,20150930,8.45E-04
2000040,20151030,-2.91E-04
2000040,20151130,-4.46E-04
2000040,20151231,-3.62E-06
2000040,20160129,1.11E-03
2000040,20160229,5.31E-04
2000040,20160331,9.65E-04
2000040,20160429,5.64E-04
2000040,20160531,-9.37E-05
2000040,20160630,1.50E-03
2000040,20160729,1.11E-04
2000040,20160831,2.18E-04
2000040,20160930,5.68E-04
2000040,20161031,5.27E-04
2000040,20161130,-6.30E-05
2000040,20161230,4.78E-04
2000040,20170131,1.00E-03
2000040,20170228,3.51E-04
2000040,20170331,2.29E-05
2000040,20170428,5.45E-04
2000040,20170531,5.33E-04
2000040,20170630,6.14E-04
2000040,20170731,1.24E-03
2000040,20170831,1.06E-03
2000040,20170929,6.61E-04
2000040,20171031,7.29E-04
2000040,20171130,4.52E-04
2000040,20171229,7.41E-04
2000040,20180131,1.13E-03
2000040,20180228,6.31E-04
2000040,20180329,1.37E-03
2000040,20180430,1.30E-03
2000040,20180531,1.75E-03
2000040,20180629,1.60E-03
2000040,20180731,1.62E-03
2000040,20180831,1.97E-03
2000040,20180928,1.24E-03
2000040,20181031,1.94E-03
2000040,20181130,2.09E-03
2000040,20181231,2.44E-03
2000040,20190131,2.44E-03
2000040,20190228,1.92E-03
2000040,20190329,2.59E-03
2000040,20190430,2.08E-03
2000040,20190531,2.62E-03
2000040,20190628,2.90E-03
2000040,20190731,1.56E-03
2000040,20190830,2.66E-03
2000040,20190930,1.59E-03
2000040,20191031,2.76E-03
2000040,20191129,9.45E-04
2000040,20191231,1.70E-03
2000041,20000131,8.52E-04
2000041,20000229,6.25E-03
2000041,20000331,5.71E-03
2000041,20000428,2.50E-03
2000041,20000531,4.87E-03
2000041,20000630,9.22E-03
2000041,20000731,6.05E-03
2000041,20000831,6.93E-03
2000041,20000929,6.49E-03
2000041,20001031,5.27E-03
2000041,20001130,8.32E-03
2000041,20001229,1.12E-02
2000041,20010131,1.29E-02
2000041,20010228,5.96E-03
2000041,20010330,7.43E-03
2000041,20010430,3.61E-03
2000041,20010531,6.01E-03
2000041,20010629,2.63E-03
2000041,20010731,1.03E-02
2000041,20010831,5.91E-03
2000041,20010928,1.44E-02
2000041,20011031,9.87E-03
2000041,20011130,-1.85E-03
2000041,20011231,1.90E-03
2000041,20020131,1.36E-03
2000041,20020228,4.30E-03
2000041,20020328,-5.61E-03
2000041,20020430,1.06E-02
2000041,20020531,3.43E-03
2000041,20020628,7.53E-03
2000041,20020731,1.05E-02
2000041,20020830,2.81E-03
2000041,20020930,7.01E-03
2000041,20021031,2.29E-03
2000041,20021129,-3.11E-03
2000041,20021231,8.85E-03
2000041,20030131,1.44E-04
2000041,20030228,3.56E-03
2000041,20030331,1.92E-03
2000041,20030430,1.66E-03
2000041,20030530,2.62E-03
2000041,20030630,2.26E-03
2000041,20030731,-3.20E-03
2000041,20030829,-4.11E-04
2000041,20030930,8.11E-03
2000041,20031031,-2.90E-03
2000041,20031128,-1.08E-03
2000041,20031231,5.63E-03
2000041,20040130,1.84E-03
2000041,20040227,4.09E-03
2000041,20040331,2.24E-03
2000041,20040430,-7.19E-03
2000041,20040528,-9.41E-04
2000041,20040630,5.84E-04
2000041,20040730,2.48E-03
2000041,20040831,6.43E-03
2000041,20040930,-1.18E-03
2000041,20041029,2.67E-03
2000041,20041130,-4.19E-03
2000041,20041231,1.60E-03
2000041,20050131,-1.01E-04
2000041,20050228,-1.88E-03
2000041,20050331,1.15E-03
2000041,20050429,4.24E-03
2000041,20050531,3.97E-03
2000041,20050630,1.89E-03
2000041,20050729,-2.35E-03
2000041,20050831,6.11E-03
2000041,20050930,-1.84E-03
2000041,20051031,3.23E-04
2000041,20051130,3.12E-03
2000041,20051230,3.68E-03
2000041,20060131,1.81E-03
2000041,20060228,1.14E-03
2000041,20060331,1.87E-03
2000041,20060428,3.13E-03
2000041,20060531,1.41E-03
2000041,20060630,2.44E-03
2000041,20060731,6.69E-03
2000041,20060831,6.37E-03
2000041,20060929,4.78E-03
2000041,20061031,3.88E-03
2000041,20061130,4.79E-03
2000041,20061229,5.90E-04
2000041,20070131,2.99E-03
2000041,20070228,7.06E-03
2000041,20070330,3.76E-03
2000041,20070430,3.57E-03
2000041,20070531,-1.65E-04
2000041,20070629,4.57E-03
2000041,20070731,8.28E-03
2000041,20070831,9.09E-03
2000041,20070928,6.35E-03
2000041,20071031,3.75E-03
2000041,20071130,1.64E-02
2000041,20071231,2.16E-03
2000041,20080131,1.68E-02
2000041,20080229,8.72E-03
2000041,20080331,2.30E-03
2000041,20080430,-7.20E-03
2000041,20080530,-2.92E-03
2000041,20080630,3.27E-03
2000041,20080731,3.96E-03
2000041,20080829,3.64E-03
2000041,20080930,7.42E-03
2000041,20081031,7.47E-03
2000041,20081128,1.06E-02
2000041,20081231,5.25E-03
2000041,20090130,-2.30E-03
2000041,20090227,-5.20E-04
2000041,20090331,2.93E-03
2000041,20090430,-1.58E-04
2000041,20090529,1.26E-03
2000041,20090630,-3.09E-04
2000041,20090731,6.27E-04
2000041,20090831,3.95E-03
2000041,20090930,1.59E-03
2000041,20091030,1.97E-03
2000041,20091130,3.26E-03
2000041,20091231,-5.22E-03
2000041,20100129,6.40E-03
2000041,20100226,8.98E-04
2000041,20100331,-1.33E-03
2000041,20100430,1.67E-03
2000041,20100528,2.59E-03
2000041,20100630,2.85E-03
2000041,20100730,1.34E-03
2000041,20100831,1.45E-03
2000041,20100930,1.17E-03
2000041,20101029,1.31E-03
2000041,20101130,-1.07E-03
2000041,20101231,-4.38E-04
2000041,20110131,1.04E-03
2000041,20110228,-1.28E-04
2000041,20110331,-9.63E-04
2000041,20110429,3.70E-03
2000041,20110531,2.04E-03
2000041,20110630,2.45E-04
2000041,20110729,1.00E-03
2000041,20110831,2.39E-03
2000041,20110930,-6.69E-04
2000041,20111031,7.37E-04
2000041,20111130,1.79E-04
2000041,20111230,2.56E-04
2000041,20120131,7.44E-04
2000041,20120229,-9.13E-04
2000041,20120330,-3.42E-04
2000041,20120430,1.25E-03
2000041,20120531,1.47E-04
2000041,20120629,-4.21E-04
2000041,20120731,1.71E-03
2000041,20120831,-4.13E-06
2000041,20120928,1.07E-04
2000041,20121031,-2.02E-04
2000041,20121130,5.14E-04
2000041,20121231,4.93E-04
2000041,20130131,2.96E-04
2000041,20130228,5.06E-04
2000041,20130328,6.86E-05
2000041,20130430,8.51E-04
2000041,20130531,-4.69E-04
2000041,20130628,-2.55E-04
2000041,20130731,1.16E-03
2000041,20130830,-5.65E-04
2000041,20130930,1.60E-03
2000041,20131031,3.78E-04
2000041,20131129,3.93E-04
2000041,20131231,-1.04E-04
2000041,20140131,9.74E-04
2000041,20140228,5.64E-04
2000041,20140331,-9.65E-05
2000041,20140430,7.83E-04
2000041,20140530,8.14E-04
2000041,20140630,-1.66E-04
2000041,20140731,-1.68E-05
2000041,20140829,6.74E-04
2000041,20140930,2.87E-04
2000041,20141031,1.26E-03
2000041,20141128,1.19E-03
2000041,20141231,-2.07E-03
2000041,20150130,3.28E-03
2000041,20150227,-1.44E-03
2000041,20150331,1.21E-03
2000041,20150430,6.10E-04
2000041,20150529,3.66E-04
2000041,20150630,3.80E-04
2000041,20150731,4.19E-04
2000041,20150831,-4.13E-04
2000041,20150930,2.23E-03
2000041,20151030,-7.66E-04
2000041,20151130,-2.15E-03
2000041,20151231,-7.98E-04
2000041,20160129,4.06E-03
2000041,20160229,7.48E-04
2000041,20160331,1.49E-03
2000041,20160429,4.48E-04
2000041,20160531,-7.04E-04
2000041,20160630,4.68E-03
2000041,20160729,-5.78E-04
2000041,20160831,-1.36E-03
2000041,20160930,1.21E-03
2000041,20161031,-4.22E-05
2000041,20161130,-2.53E-03
2000041,20161230,5.00E-04
2000041,20170131,1.55E-03
2000041,20170228,1.99E-04
2000041,20170331,4.46E-04
2000041,20170428,7.01E-04
2000041,20170531,8.07E-04
2000041,20170630,-3.71E-04
2000041,20170731,1.69E-03
2000041,20170831,1.47E-03
2000041,20170929,-8.72E-04
2000041,20171031,-2.59E-04
2000041,20171130,-1.46E-03
2000041,20171229,-5.18E-05
2000041,20180131,-1.09E-03
2000041,20180228,-8.13E-05
2000041,20180329,1.48E-03
2000041,20180430,-7.37E-04
2000041,20180531,2.90E-03
2000041,20180629,6.16E-04
2000041,20180731,5.71E-04
2000041,20180831,2.86E-03
2000041,20180928,-5.59E-04
2000041,20181031,1.69E-03
2000041,20181130,3.10E-03
2000041,20181231,5.69E-03
2000041,20190131,2.62E-03
2000041,20190228,1.17E-03
2000041,20190329,5.02E-03
2000041,20190430,2.04E-03
2000041,20190531,5.76E-03
2000041,20190628,4.17E-03
2000041,20190731,1.42E-05
2000041,20190830,5.83E-03
2000041,20190930,-2.62E-04
2000041,20191031,3.37E-03
2000041,20191129,-1.40E-04
2000041,20191231,2.41E-03
2000042,20000131,-2.86E-03
2000042,20000229,7.10E-03
2000042,20000331,8.00E-03
2000042,20000428,9.56E-04
2000042,20000531,4.71E-03
2000042,20000630,1.20E-02
2000042,20000731,6.45E-03
2000042,20000831,9.57E-03
2000042,20000929,8.46E-03
2000042,20001031,5.93E-03
2000042,20001130,1.13E-02
2000042,20001229,1.46E-02
2000042,20010131,1.42E-02
2000042,20010228,7.76E-03
2000042,20010330,8.07E-03
2000042,20010430,1.02E-03
2000042,20010531,5.41E-03
2000042,20010629,3.05E-03
2000042,20010731,1.47E-02
2000042,20010831,8.37E-03
2000042,20010928,2.08E-02
2000042,20011031,1.37E-02
2000042,20011130,-8.69E-03
2000042,20011231,-2.76E-03
2000042,20020131,3.85E-03
2000042,20020228,6.97E-03
2000042,20020328,-1.16E-02
2000042,20020430,1.49E-02
2000042,20020531,6.46E-03
2000042,20020628,1.05E-02
2000042,20020731,1.76E-02
2000042,20020830,8.51E-03
2000042,20020930,1.29E-02
2000042,20021031,1.55E-03
2000042,20021129,-8.34E-03
2000042,20021231,1.52E-02
2000042,20030131,8.75E-05
2000042,20030228,7.79E-03
2000042,20030331,2.29E-03
2000042,20030430,2.10E-03
2000042,20030530,9.03E-03
2000042,20030630,1.42E-03
2000042,20030731,-1.06E-02
2000042,20030829,-3.01E-03
2000042,20030930,1.61E-02
2000042,20031031,-6.83E-03
2000042,20031128,-2.09E-03
2000042,20031231,8.13E-03
2000042,20040130,3.32E-03
2000042,20040227,6.86E-03
2000042,20040331,5.39E-03
2000042,20040430,-1.63E-02
2000042,20040528,-2.33E-03
2000042,20040630,1.46E-03
2000042,20040730,4.23E-03
2000042,20040831,1.18E-02
2000042,20040930,-1.74E-03
2000042,20041029,4.23E-03
2000042,20041130,-7.93E-03
2000042,20041231,2.53E-03
2000042,20050131,-1.03E-03
2000042,20050228,-5.09E-03
2000042,20050331,-6.14E-04
2000042,20050429,7.23E-03
2000042,20050531,5.81E-03
2000042,20050630,2.22E-03
2000042,20050729,-6.21E-03
2000042,20050831,9.02E-03
2000042,20050930,-5.29E-03
2000042,20051031,-2.05E-03
2000042,20051130,4.04E-03
2000042,20051230,3.90E-03
2000042,20060131,1.14E-03
2000042,20060228,-5.65E-04
2000042,20060331,7.98E-05
2000042,20060428,2.63E-03
2000042,20060531,4.13E-04
2000042,20060630,1.64E-03
2000042,20060731,8.93E-03
2000042,20060831,8.97E-03
2000042,20060929,5.69E-03
2000042,20061031,4.00E-03
2000042,20061130,5.87E-03
2000042,20061229,-1.68E-03
2000042,20070131,1.42E-03
2000042,20070228,9.76E-03
2000042,20070330,4.31E-03
2000042,20070430,4.15E-03
2000042,20070531,-4.12E-03
2000042,20070629,3.92E-03
2000042,20070731,1.25E-02
2000042,20070831,1.14E-02
2000042,20070928,7.05E-03
2000042,20071031,5.56E-03
2000042,20071130,2.47E-02
2000042,20071231,2.26E-03
2000042,20080131,2.36E-02
2000042,20080229,1.18E-02
2000042,20080331,4.56E-03
2000042,20080430,-1.43E-02
2000042,20080530,-8.49E-03
2000042,20080630,3.62E-03
2000042,20080731,5.27E-03
2000042,20080829,6.94E-03
2000042,20080930,1.29E-02
2000042,20081031,1.42E-02
2000042,20081128,1.55E-02
2000042,20081231,6.57E-03
2000042,20090130,-5.94E-03
2000042,20090227,8.23E-04
2000042,20090331,7.47E-03
2000042,20090430,-3.94E-03
2000042,20090529,1.96E-03
2000042,20090630,-2.80E-03
2000042,20090731,2.15E-03
2000042,20090831,4.79E-03
2000042,20090930,3.47E-03
2000042,20091030,2.60E-03
2000042,20091130,8.55E-03
2000042,20091231,-1.10E-02
2000042,20100129,9.93E-03
